[ 245.5  616. ]
[ 451.31313131  561.42424242]
[ 631.35021097  481.21940928]
[ 297.13020833  476.22395833]
[ 543.88  462.04]
[ 170.92857143  429.57142857]
[ 557.71428571  398.42857143]
[ 141.02631579  385.60526316]
[ 123.93243243  340.54054054]
[ 310.58333333  276.546875  ]
[ 662.42076503  212.89617486]
[ 533.69047619  191.70238095]
[ 575.71957672  194.08994709]
[ 224.65555556  150.73333333]
[ 515.74814815  139.03703704]
[ 236.5  610. ]
[ 462.08484848  565.28484848]
[ 642.40182648  483.41552511]
[ 286.31794872  475.65128205]
[ 553.98742138  462.27672956]
[ 173.05882353  420.14705882]
[ 552.40322581  393.87096774]
[ 142.95454545  377.75757576]
[ 125.58571429  329.68571429]
[ 305.45454545  277.72727273]
[ 674.09677419  213.82795699]
[ 532.11111111  197.72222222]
[ 568.53571429  191.28571429]
[ 233.18579235  159.5136612 ]
[ 511.53703704  151.59259259]
[ 222.96190476  596.40952381]
[ 479.09929078  567.79432624]
[ 654.54589372  492.74396135]
[ 272.76960784  470.19117647]
[ 562.54644809  454.93989071]
[ 176.11764706  408.44117647]
[ 541.77777778  393.62573099]
[ 155.06214689  376.44067797]
[ 128.08230453  314.24279835]
[ 288.79812207  282.02347418]
[ 678.91769547  222.3127572 ]
[ 519.11111111  208.35185185]
[ 558.32820513  178.08205128]
[ 242.9137931  173.       ]
[ 503.95480226  169.14124294]
[ 209.89430894  580.91056911]
[ 496.9047619   571.54761905]
[ 658.05882353  503.88235294]
[ 261.48148148  460.83796296]
[ 571.5025641   445.04102564]
[ 187.3715847   406.67213115]
[ 534.21875     400.78645833]
[ 171.87179487  378.10769231]
[ 128.55274262  297.00421941]
[ 271.87064677  288.06965174]
[ 682.1965812   236.61538462]
[ 499.77777778  210.27160494]
[ 551.38974359  161.58974359]
[ 246.89201878  188.80751174]
[ 489.5  183.5]
[ 200.63703704  563.65925926]
[ 507.28787879  580.31818182]
[ 656.92105263  516.92105263]
[ 257.34803922  446.76470588]
[ 573.43333333  436.76666667]
[ 200.96774194  403.9516129 ]
[ 529.6974359   412.98974359]
[ 187.27083333  381.984375  ]
[ 135.75111111  280.21777778]
[ 253.41062802  294.96618357]
[ 681.   253.5]
[ 486.75757576  202.67878788]
[ 552.60344828  142.86206897]
[ 245.63589744  206.75897436]
[ 473.71428571  194.46428571]
[ 199.33333333  547.41666667]
[ 514.09950249  593.03482587]
[ 652.05701754  531.33333333]
[ 256.40322581  431.38709677]
[ 570.22705314  423.43961353]
[ 212.28888889  404.91111111]
[ 524.67676768  428.15151515]
[ 203.55882353  388.17647059]
[ 145.6017316   265.21645022]
[ 234.31455399  298.82159624]
[ 678.26315789  269.69298246]
[ 486.63333333  202.46666667]
[ 555.73809524  124.35714286]
[ 239.05936073  220.10045662]
[ 455.91194969  201.81761006]
[ 201.34722222  529.75      ]
[ 512.80874317  604.10382514]
[ 649.85294118  542.23529412]
[ 264.05228758  420.16993464]
[ 570.17840376  408.02347418]
[ 226.88461538  404.46153846]
[ 529.24888889  441.24888889]
[ 206.84946237  399.66129032]
[ 159.27956989  258.93548387]
[ 213.97058824  295.75980392]
[ 680.94871795  280.72649573]
[ 486.10928962  199.3715847 ]
[ 545.9137931   113.13793103]
[ 235.41176471  233.20588235]
[ 443.48  201.06]
[ 209.87878788  514.01212121]
[ 507.36969697  618.58787879]
[ 657.82125604  546.39613527]
[ 277.98870056  413.11299435]
[ 571.88059701  391.50248756]
[ 243.85310734  406.39548023]
[ 536.52941176  459.29411765]
[ 209.58974359  413.57948718]
[ 173.45555556  264.62777778]
[ 196.73809524  281.3968254 ]
[ 679.81094527  292.58706468]
[ 479.97435897  185.83589744]
[ 539.31481481   95.40740741]
[ 227.35294118  248.79411765]
[ 432.87719298  188.80116959]
[ 221.58  498.88]
[ 496.83974359  632.73076923]
[ 657.46586345  544.73092369]
[ 292.59393939  410.47878788]
[ 578.66666667  376.30845771]
[ 257.16129032  412.41397849]
[ 541.80952381  479.11428571]
[ 218.75757576  427.87878788]
[ 190.89803922  265.41960784]
[ 178.81944444  269.39814815]
[ 671.44642857  307.03571429]
[ 474.72486772  167.86772487]
[ 532.    76.5]
[ 214.55555556  260.78743961]
[ 426.11111111  175.3625731 ]
[ 238.95        492.78333333]
[ 484.78911565  646.19727891]
[ 660.60683761  530.82051282]
[ 304.8707483   414.70068027]
[ 586.3         362.28571429]
[ 266.04166667  427.31944444]
[ 546.93896714  497.10798122]
[ 234.03448276  434.87356322]
[ 204.97584541  273.22222222]
[ 190.9125      249.98333333]
[ 661.62424242  318.95151515]
[ 465.9025641   150.84102564]
[ 520.86178862   68.13821138]
[ 184.41545894  285.38164251]
[ 416.7962963   165.97530864]
[ 255.69047619  490.22222222]
[ 470.20987654  656.18518519]
[ 672.45098039  511.56862745]
[ 309.5         425.76190476]
[ 585.50228311  354.00456621]
[ 273.91282051  444.22051282]
[ 550.24888889  516.79111111]
[ 249.6010929   443.41530055]
[ 198.99061033  281.38497653]
[ 194.87280702  232.23684211]
[ 648.84795322  328.11111111]
[ 457.36969697  132.24848485]
[ 506.58914729   61.41085271]
[ 196.01724138  306.13793103]
[ 413.86764706  158.29411765]
[ 272.97058824  489.73529412]
[ 456.425  662.7  ]
[ 681.45652174  506.45652174]
[ 301.11290323  432.62903226]
[ 588.68981481  341.21759259]
[ 280.91919192  460.51515152]
[ 547.7294686  534.6763285]
[ 263.73099415  449.79532164]
[ 187.91794872  287.63589744]
[ 200.9342723   215.16431925]
[ 639.  337.]
[ 450.8128655   114.85380117]
[ 503.71515152   51.03030303]
[ 199.08108108  325.08108108]
[ 417.42857143  148.71428571]
[ 285.68027211  496.43537415]
[ 440.29059829  667.39316239]
[ 677.54982818  507.24054983]
[ 296.93607306  435.76255708]
[ 594.42690058  334.25730994]
