0 [ 245.5  616. ]
1 [ 451.31313131  561.42424242]
2 [ 631.35021097  481.21940928]
3 [ 297.13020833  476.22395833]
4 [ 543.88  462.04]
5 [ 170.92857143  429.57142857]
6 [ 557.71428571  398.42857143]
7 [ 141.02631579  385.60526316]
8 [ 123.93243243  340.54054054]
9 [ 310.58333333  276.546875  ]
10 [ 662.42076503  212.89617486]
11 [ 533.69047619  191.70238095]
12 [ 575.71957672  194.08994709]
13 [ 224.65555556  150.73333333]
14 [ 515.74814815  139.03703704]
0 [ 236.5  610. ]
1 [ 462.08484848  565.28484848]
2 [ 642.40182648  483.41552511]
3 [ 286.31794872  475.65128205]
4 [ 553.98742138  462.27672956]
5 [ 173.05882353  420.14705882]
6 [ 552.40322581  393.87096774]
7 [ 142.95454545  377.75757576]
8 [ 125.58571429  329.68571429]
9 [ 305.45454545  277.72727273]
10 [ 674.09677419  213.82795699]
11 [ 532.11111111  197.72222222]
12 [ 568.53571429  191.28571429]
13 [ 233.18579235  159.5136612 ]
14 [ 511.53703704  151.59259259]
0 [ 222.96190476  596.40952381]
1 [ 479.09929078  567.79432624]
2 [ 654.54589372  492.74396135]
3 [ 272.76960784  470.19117647]
4 [ 562.54644809  454.93989071]
5 [ 176.11764706  408.44117647]
6 [ 541.77777778  393.62573099]
7 [ 155.06214689  376.44067797]
8 [ 128.08230453  314.24279835]
9 [ 288.79812207  282.02347418]
10 [ 678.91769547  222.3127572 ]
11 [ 519.11111111  208.35185185]
12 [ 558.32820513  178.08205128]
13 [ 242.9137931  173.       ]
14 [ 503.95480226  169.14124294]
0 [ 209.89430894  580.91056911]
1 [ 496.9047619   571.54761905]
2 [ 658.05882353  503.88235294]
3 [ 261.48148148  460.83796296]
4 [ 571.5025641   445.04102564]
5 [ 187.3715847   406.67213115]
6 [ 534.21875     400.78645833]
7 [ 171.87179487  378.10769231]
8 [ 128.55274262  297.00421941]
9 [ 271.87064677  288.06965174]
10 [ 682.1965812   236.61538462]
11 [ 499.77777778  210.27160494]
12 [ 551.38974359  161.58974359]
13 [ 246.89201878  188.80751174]
14 [ 489.5  183.5]
0 [ 200.63703704  563.65925926]
1 [ 507.28787879  580.31818182]
2 [ 656.92105263  516.92105263]
3 [ 257.34803922  446.76470588]
4 [ 573.43333333  436.76666667]
5 [ 200.96774194  403.9516129 ]
6 [ 529.6974359   412.98974359]
7 [ 187.27083333  381.984375  ]
8 [ 135.75111111  280.21777778]
9 [ 253.41062802  294.96618357]
10 [ 681.   253.5]
11 [ 486.75757576  202.67878788]
12 [ 552.60344828  142.86206897]
13 [ 245.63589744  206.75897436]
14 [ 473.71428571  194.46428571]
0 [ 199.33333333  547.41666667]
1 [ 514.09950249  593.03482587]
2 [ 652.05701754  531.33333333]
3 [ 256.40322581  431.38709677]
4 [ 570.22705314  423.43961353]
5 [ 212.28888889  404.91111111]
6 [ 524.67676768  428.15151515]
7 [ 203.55882353  388.17647059]
8 [ 145.6017316   265.21645022]
9 [ 234.31455399  298.82159624]
10 [ 678.26315789  269.69298246]
11 [ 486.63333333  202.46666667]
12 [ 555.73809524  124.35714286]
13 [ 239.05936073  220.10045662]
14 [ 455.91194969  201.81761006]
0 [ 201.34722222  529.75      ]
1 [ 512.80874317  604.10382514]
2 [ 649.85294118  542.23529412]
3 [ 264.05228758  420.16993464]
4 [ 570.17840376  408.02347418]
5 [ 226.88461538  404.46153846]
6 [ 529.24888889  441.24888889]
7 [ 206.84946237  399.66129032]
8 [ 159.27956989  258.93548387]
9 [ 213.97058824  295.75980392]
10 [ 680.94871795  280.72649573]
11 [ 486.10928962  199.3715847 ]
12 [ 545.9137931   113.13793103]
13 [ 235.41176471  233.20588235]
14 [ 443.48  201.06]
0 [ 209.87878788  514.01212121]
1 [ 507.36969697  618.58787879]
2 [ 657.82125604  546.39613527]
3 [ 277.98870056  413.11299435]
4 [ 571.88059701  391.50248756]
5 [ 243.85310734  406.39548023]
6 [ 536.52941176  459.29411765]
7 [ 209.58974359  413.57948718]
8 [ 173.45555556  264.62777778]
9 [ 196.73809524  281.3968254 ]
10 [ 679.81094527  292.58706468]
11 [ 479.97435897  185.83589744]
12 [ 539.31481481   95.40740741]
13 [ 227.35294118  248.79411765]
14 [ 432.87719298  188.80116959]
0 [ 221.58  498.88]
